Accuracy,F1,False Negative Scores,True Negative Scores,True Negative Rates,True Positive Scores,Positive Predictive Values,False Positive Scores,False Positive Rates,Negative Predictive Values,True Positive Rates,Matthews Correlation Coefficient,Threshold,Fraction Predicted As Positive,Fraction Predicted As Negative,Lift For Positive Class,Lift For Negative Class
0.25675675675675674,0.0,825.0,285.0,1.0,0.0,0.0,0.0,0.0,0.25675675675675674,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.25765765765765763,0.002421307506053269,824.0,285.0,1.0,1.0,1.0,0.0,0.0,0.2569882777276826,0.0012121212121212121,0.017649389301055755,0.9919796950931755,0.0009009009009009009,0.9990990990990991,1.3454545454545455,1.0009017132551847
0.26666666666666666,0.02631578947368421,814.0,285.0,1.0,11.0,1.0,0.0,0.0,0.25932666060054593,0.013333333333333334,0.058802115676285654,0.9842682455480805,0.00990990990990991,0.9900900900900901,1.3454545454545457,1.0100090991810737
0.2765765765765766,0.05194805194805195,803.0,285.0,1.0,22.0,1.0,0.0,0.0,0.2619485294117647,0.02666666666666667,0.08357807199048718,0.9785139825335204,0.01981981981981982,0.9801801801801802,1.3454545454545457,1.0202205882352942
0.2882882882882883,0.08139534883720931,790.0,285.0,1.0,35.0,1.0,0.0,0.0,0.2651162790697674,0.04242424242424243,0.10605355861011417,0.9746611952451846,0.03153153153153153,0.9684684684684685,1.3454545454545457,1.0325581395348837
0.2981981981981982,0.10562571756601608,779.0,285.0,1.0,46.0,1.0,0.0,0.0,0.26785714285714285,0.055757575757575756,0.12220910332321785,0.9700954830803505,0.04144144144144144,0.9585585585585585,1.3454545454545455,1.0432330827067668
0.3081081081081081,0.1292517006802721,768.0,285.0,1.0,57.0,1.0,0.0,0.0,0.2706552706552707,0.06909090909090909,0.13674728041105133,0.9664423703580086,0.051351351351351354,0.9486486486486486,1.3454545454545455,1.0541310541310542
0.31801801801801804,0.1522956326987682,757.0,285.0,1.0,68.0,1.0,0.0,0.0,0.27351247600767753,0.08242424242424243,0.15014679027042704,0.9627771508178502,0.06126126126126126,0.9387387387387387,1.3454545454545455,1.0652591170825336
0.3261261261261261,0.17256637168141592,747.0,284.0,0.9964912280701754,78.0,0.9873417721518988,1.0,0.0035087719298245615,0.2754607177497575,0.09454545454545454,0.15467600610235055,0.9587986753286414,0.07117117117117117,0.9288288288288289,1.3284234752589184,1.0728470059727397
0.33153153153153153,0.18995633187772926,738.0,281.0,0.9859649122807017,87.0,0.9560439560439561,4.0,0.014035087719298246,0.2757605495583906,0.10545454545454545,0.14557280722289312,0.9568230307322942,0.08198198198198198,0.918018018018018,1.2863136863136864,1.074014771964258
0.3396396396396396,0.209277238403452,728.0,280.0,0.9824561403508771,97.0,0.9509803921568627,5.0,0.017543859649122806,0.2777777777777778,0.11757575757575757,0.1512716559861289,0.9539237521021288,0.0918918918918919,0.9081081081081082,1.279500891265597,1.0818713450292397
0.34774774774774775,0.2281449893390192,718.0,279.0,0.9789473684210527,107.0,0.9469026548672567,6.0,0.021052631578947368,0.279839518555667,0.1296969696969697,0.15695302913602965,0.9515393773703279,0.1018018018018018,0.8981981981981982,1.2740144810941272,1.0899012827957557
