Accuracy,F1,False Negative Scores,True Negative Scores,True Negative Rates,True Positive Scores,Positive Predictive Values,False Positive Scores,False Positive Rates,Negative Predictive Values,True Positive Rates,Matthews Correlation Coefficient,Threshold,Fraction Predicted As Positive,Fraction Predicted As Negative,Lift For Positive Class,Lift For Negative Class
0.25675675675675674,0.0,825.0,285.0,1.0,0.0,0.0,0.0,0.0,0.25675675675675674,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.25765765765765763,0.002421307506053269,824.0,285.0,1.0,1.0,1.0,0.0,0.0,0.2569882777276826,0.0012121212121212121,0.017649389301055755,0.99723479425298,0.0009009009009009009,0.9990990990990991,1.3454545454545455,1.0009017132551847
0.26666666666666666,0.02631578947368421,814.0,285.0,1.0,11.0,1.0,0.0,0.0,0.25932666060054593,0.013333333333333334,0.058802115676285654,0.9968724957490184,0.00990990990990991,0.9900900900900901,1.3454545454545457,1.0100090991810737
0.2765765765765766,0.05194805194805195,803.0,285.0,1.0,22.0,1.0,0.0,0.0,0.2619485294117647,0.02666666666666667,0.08357807199048718,0.9966358352206202,0.01981981981981982,0.9801801801801802,1.3454545454545457,1.0202205882352942
0.2873873873873874,0.07916181606519208,791.0,285.0,1.0,34.0,1.0,0.0,0.0,0.2648698884758364,0.041212121212121214,0.10447894500475777,0.9964247038892008,0.03063063063063063,0.9693693693693693,1.3454545454545455,1.0315985130111525
0.2981981981981982,0.10562571756601608,779.0,285.0,1.0,46.0,1.0,0.0,0.0,0.26785714285714285,0.055757575757575756,0.12220910332321785,0.9961983526203216,0.04144144144144144,0.9585585585585585,1.3454545454545455,1.0432330827067668
0.3081081081081081,0.1292517006802721,768.0,285.0,1.0,57.0,1.0,0.0,0.0,0.2706552706552707,0.06909090909090909,0.13674728041105133,0.9960330440160428,0.051351351351351354,0.9486486486486486,1.3454545454545455,1.0541310541310542
0.31801801801801804,0.1522956326987682,757.0,285.0,1.0,68.0,1.0,0.0,0.0,0.27351247600767753,0.08242424242424243,0.15014679027042704,0.9958067820249775,0.06126126126126126,0.9387387387387387,1.3454545454545455,1.0652591170825336
0.3279279279279279,0.1747787610619469,746.0,285.0,1.0,79.0,1.0,0.0,0.0,0.27643064985451016,0.09575757575757576,0.16269704636273874,0.9956460322707984,0.07117117117117117,0.9288288288288289,1.3454545454545457,1.0766246362754606
0.3387387387387387,0.19868995633187772,734.0,285.0,1.0,91.0,1.0,0.0,0.0,0.27968596663395484,0.1103030303030303,0.17564227752155073,0.9954420828522681,0.08198198198198198,0.918018018018018,1.3454545454545455,1.0893032384690875
0.34954954954954953,0.22198275862068967,722.0,285.0,1.0,103.0,1.0,0.0,0.0,0.2830188679245283,0.12484848484848485,0.18797467075090413,0.9952132171418667,0.09279279279279279,0.9072072072072073,1.3454545454545455,1.1022840119165838
0.35945945945945945,0.24281150159744408,711.0,285.0,1.0,114.0,1.0,0.0,0.0,0.286144578313253,0.13818181818181818,0.19884661951915342,0.9951318952503717,0.10270270270270271,0.8972972972972972,1.3454545454545455,1.1144578313253013
0.36936936936936937,0.2631578947368421,700.0,285.0,1.0,125.0,1.0,0.0,0.0,0.2893401015228426,0.15151515151515152,0.20937862670684138,0.9950138220182163,0.11261261261261261,0.8873873873873874,1.3454545454545455,1.1269035532994924
0.3792792792792793,0.28303850156087407,689.0,285.0,1.0,136.0,1.0,0.0,0.0,0.2926078028747433,0.16484848484848486,0.21962684935759919,0.9948299806900535,0.12252252252252252,0.8774774774774775,1.3454545454545455,1.1396303901437372
0.3891891891891892,0.30246913580246915,678.0,285.0,1.0,147.0,1.0,0.0,0.0,0.29595015576323985,0.1781818181818182,0.229636532035054,0.9946862565432927,0.13243243243243244,0.8675675675675676,1.3454545454545455,1.1526479750778815
0.4,0.3231707317073171,666.0,285.0,1.0,159.0,1.0,0.0,0.0,0.2996845425867508,0.19272727272727272,0.2403276608533955,0.9945146991408307,0.14324324324324325,0.8567567567567568,1.3454545454545452,1.167192429022082
0.4099099099099099,0.3417085427135678,655.0,285.0,1.0,170.0,1.0,0.0,0.0,0.30319148936170215,0.20606060606060606,0.24995163942308948,0.9942736073368749,0.15315315315315314,0.8468468468468469,1.3454545454545455,1.1808510638297873
0.4198198198198198,0.35984095427435386,644.0,285.0,1.0,181.0,1.0,0.0,0.0,0.3067814854682454,0.2193939393939394,0.2594339966735334,0.9940354837386305,0.16306306306306306,0.8369369369369369,1.3454545454545455,1.1948331539289558
