,leftEmployer,jobLength_old,avgSalary,ratingBusinessOutlook,ratingCareerOpportunities,ratingCeo,ratingCompensationAndBenefits,ratingCultureAndValues,ratingOverall,ratingRecommendToFriend,ratingSeniorManagement,ratingWorkLifeBalance,employeesTotalNum,gdSectorName,metro,jobTitle,ratepca_f,ratingBusinessOutlook_f,ratingCareerOpportunities_f,ratingCeo_f,ratingCompensationAndBenefits_f,ratingCultureAndValues_f,ratingOverall_f,ratingRecommendToFriend_f,ratingSeniorManagement_f,ratingWorkLifeBalance_f,avgSalary_f,job_f
10,1,91.68468468468468,96.01801801801801,45.3963963963964,58.4954954954955,30.882882882882882,21.09009009009009,72.30630630630631,48.08108108108108,69.31531531531532,29.423423423423422,26.18918918918919,176187,12,83,1023,136.3293618920721,0.025641025641025664,0.03124999999999989,0.6129032258064516,-0.15441176470588247,0.1212938005390836,0.07692307692307693,0.054054054054054106,0.11450381679389306,0.13745704467353947,-0.12439116886910051,1.1142857142857143
11,0,18.216216216216218,9.693693693693694,90.6036036036036,95.88288288288288,95.24324324324324,62.37837837837838,96.4054054054054,98.27927927927928,97.25225225225225,96.17117117117117,94.93693693693693,4735,8,38,833,275.99921346405404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22077922077922077,3.0
12,1,51.189189189189186,83.02702702702703,29.396396396396398,4.7207207207207205,89.75675675675676,1.4144144144144144,35.03603603603604,24.0,4.873873873873874,27.52252252252252,32.37837837837838,21247,19,6,611,80.43931578693693,0.6774193548387097,0.4577777777777777,0.01010101010101011,0.5714285714285713,-0.05519480519480517,0.5121951219512194,1.8399999999999999,0.18532818532818532,0.0,-0.26233544292738525,2.0
13,1,18.216216216216218,58.306306306306304,96.46846846846847,71.09009009009009,39.14414414414414,89.61261261261261,99.63063063063063,67.43243243243244,47.513513513513516,79.0,78.87387387387388,50000,21,22,119,219.75792462243245,-0.40476190476190477,0.023809523809523832,-0.02898550724637668,-0.22857142857142854,-0.19467213114754092,-0.08806818181818184,-0.2295081967213115,-0.14970059880239522,-0.21390374331550807,-0.26081585891830766,2.75
14,1,12.09009009009009,11.594594594594595,82.63963963963964,8.846846846846846,0.5315315315315315,21.62162162162162,1.0990990990990992,3.5945945945945947,2.054054054054054,7.054054054054054,11.855855855855856,26500,20,22,903,40.613916131891884,-0.3870967741935484,-0.11983471074380167,inf,-0.062271062271062244,0.9542857142857143,0.36888888888888893,1.6111111111111112,0.23584905660377356,0.2846153846153845,1.068448620813113e-15,2.6666666666666665
15,0,5.657657657657658,19.72072072072072,82.63963963963964,28.846846846846848,48.189189189189186,71.54054054054055,66.37837837837837,60.52252252252252,34.729729729729726,20.666666666666668,37.351351351351354,341000,20,43,710,145.7561877545045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12192982456140351,6.5
16,0,23.0990990990991,95.2072072072072,69.48648648648648,77.65765765765765,73.1891891891892,19.117117117117118,92.43243243243244,35.747747747747745,70.90090090090091,58.0990990990991,2.279279279279279,3700,20,42,210,168.06524229909908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16557218032953083,3.8
17,0,12.09009009009009,42.765765765765764,4.666666666666667,47.666666666666664,31.792792792792792,17.43243243243243,37.234234234234236,17.405405405405407,46.108108108108105,39.01801801801802,1.6036036036036037,10000,23,6,538,83.97047680324324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2725563152343619,6.0
18,1,27.513513513513512,80.30630630630631,98.04504504504504,98.87387387387388,95.24324324324324,86.74774774774775,85.87387387387388,94.53153153153153,91.43243243243244,97.26126126126127,82.54054054054055,1006,18,94,251,275.23515840729726,-0.9782608695652174,-0.5269320843091334,-0.54,-0.052910052910052845,-0.28211586901763225,-0.3406326034063261,-0.5681818181818182,-0.4020100502512563,-0.02624671916010501,-0.07088722742972874,1.5
19,1,74.72972972972973,80.16216216216216,20.74774774774775,54.432432432432435,15.774774774774775,26.89189189189189,70.06306306306307,41.432432432432435,42.5045045045045,32.8018018018018,15.0990990990991,176187,12,29,1131,109.95145800135136,1.769230769230769,0.2126984126984127,1.2790697674418605,0.25704225352112675,0.15489130434782603,0.36075949367088594,0.48275862068965525,0.4906367041198502,0.4684014869888477,-0.7119640992336053,1.3181818181818181
20,1,5.657657657657658,87.8108108108108,99.45945945945945,28.07207207207207,95.24324324324324,36.108108108108105,87.47747747747748,3.1621621621621623,6.702702702702703,3.135135135135135,3.918918918918919,15000,14,60,251,112.94860956657656,-0.5800000000000001,0.09964412811387893,-0.16000000000000003,0.04651162790697679,-0.20499999999999996,0.46846846846846824,1.357142857142857,0.6000000000000001,0.42035398230088505,-0.02748028946222343,2.5
21,1,12.09009009009009,86.36036036036036,51.16216216216216,48.54054054054054,63.4954954954955,44.846846846846844,41.108108108108105,49.090090090090094,55.44144144144144,60.85585585585586,45.387387387387385,241359,9,60,251,152.45276079675676,-0.8333333333333333,-0.31067961165048547,-0.08333333333333327,-0.09206349206349208,-0.15408805031446546,-0.17791411042944774,-0.27272727272727276,-0.24671052631578946,0.015576323987538885,2.48472729605802e-14,2.3333333333333335
22,1,18.216216216216218,85.37837837837837,2.630630630630631,4.081081081081081,3.5495495495495497,29.405405405405407,4.8108108108108105,9.612612612612613,6.702702702702703,2.4144144144144146,9.972972972972974,45000,11,60,251,23.245279165045044,2.5,0.48416289592760176,1.4375,0.17993079584775087,0.6727272727272726,0.30039525691699615,1.3214285714285714,0.7197802197802197,0.3215686274509805,-1.4815756354251385e-15,2.25
23,0,66.43243243243244,23.315315315315317,70.91891891891892,74.84684684684684,58.14414414414414,52.711711711711715,67.74774774774775,86.52252252252252,82.82882882882883,72.96396396396396,75.71171171171171,5000,8,94,463,215.08837797126125,0.37735849056603765,0.04985337243401757,0.09876543209876537,0.055214723926380424,0.11263736263736256,-0.07474226804123713,-0.06097560975609748,-0.08950617283950618,0.04594594594594593,0.08710878969328933,2.411764705882353
24,1,31.7027027027027,47.252252252252255,12.324324324324325,16.765765765765767,18.963963963963963,15.036036036036036,14.936936936936936,14.64864864864865,19.936936936936938,26.954954954954953,47.68468468468468,32356,9,15,538,61.71172441252252,2.95,0.34351145038167935,1.0833333333333335,0.350194552529183,0.6212121212121212,0.593283582089552,1.232558139534884,0.48837209302325574,0.28307692307692306,-0.5994060291176534,1.2857142857142858
25,1,5.657657657657658,0.13513513513513514,94.74774774774775,82.14414414414415,95.24324324324324,69.76576576576576,94.74774774774775,97.48648648648648,98.09909909909909,96.17117117117117,96.51351351351352,13196,8,15,848,274.3834318008108,0.025316455696202552,0.20738636363636362,-0.12,0.08357348703170017,-0.10280373831775709,-0.14285714285714274,-0.0833333333333333,-0.03645833333333325,-0.33333333333333337,1.4962931863337923,2.0
26,1,12.09009009009009,87.52252252252252,94.74774774774775,91.29729729729729,81.10810810810811,87.15315315315316,75.54054054054055,88.13513513513513,88.72072072072072,85.06306306306307,66.13513513513513,28000,17,42,958,251.0016394653153,-0.4556962025316456,-0.1626016260162602,-0.2365591397849463,-0.10290237467018473,-0.23936170212765956,-0.2225063938618926,-0.4069767441860465,-0.27377521613832856,-0.16384180790960454,0.0017019737131253572,1.3333333333333333
27,1,27.513513513513512,30.90990990990991,23.873873873873872,59.711711711711715,65.49549549549549,62.37837837837838,67.09009009009009,73.04504504504504,73.82882882882883,67.97297297297297,93.30630630630631,8000,10,6,833,196.7129838690991,0.28571428571428553,0.04672897196261679,-0.07058823529411758,0.053254437869822535,-0.06060606060606054,-0.06906077348066299,-0.19480519480519484,-0.03809523809523813,-0.08910891089108908,0.266374627776598,1.5
28,1,12.09009009009009,42.765765765765764,38.88288288288288,71.09009009009009,54.567567567567565,75.8018018018018,54.306306306306304,56.990990990990994,49.090090090090094,59.93693693693694,74.65765765765765,16000,11,6,538,176.7991481645045,-0.4444444444444444,-0.3452380952380952,-0.44303797468354433,-0.24157303370786512,-0.16422287390029328,-0.2433234421364986,-0.48387096774193544,-0.2145214521452145,-0.18206521739130443,6.23712179335333e-16,5.333333333333333
29,0,61.693693693693696,32.72072072072072,83.65765765765765,89.48648648648648,87.42342342342343,76.990990990991,98.54954954954955,95.22522522522523,94.8018018018018,97.55855855855856,93.71171171171171,6635,8,53,456,272.5081368503604,0.03174603174603177,-0.06010928961748639,0.010309278350515474,-0.06983240223463687,-0.13015184381778752,-0.014527845036319518,0.0,-0.09476309226932667,0.007407407407407469,-0.1714962134940343,1.4
30,0,56.567567567567565,48.234234234234236,95.90990990990991,98.73873873873873,81.10810810810811,84.52252252252252,97.07207207207207,97.87387387387388,90.01801801801801,98.63963963963964,60.78378378378378,1157,12,15,172,268.433821745946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40429314599876415,1.6153846153846154
