Accuracy,F1,False Negative Scores,True Negative Scores,True Negative Rates,True Positive Scores,Positive Predictive Values,False Positive Scores,False Positive Rates,Negative Predictive Values,True Positive Rates,Matthews Correlation Coefficient,Threshold,Fraction Predicted As Positive,Fraction Predicted As Negative,Lift For Positive Class,Lift For Negative Class
0.25675675675675674,0.0,825.0,285.0,1.0,0.0,0.0,0.0,0.0,0.25675675675675674,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.25585585585585585,0.0,825.0,284.0,0.9964912280701754,0.0,0.0,1.0,0.0035087719298245615,0.2560865644724977,0.0,-0.05109033745042455,0.9978833333333333,0.0009009009009009009,0.9990990990990991,0.0,0.9973897774192018
0.2648648648648649,0.023923444976076555,815.0,284.0,0.9964912280701754,10.0,0.9090909090909091,1.0,0.0035087719298245615,0.2584167424931756,0.012121212121212121,0.03798222782917973,0.983907142857143,0.00990990990990991,0.9900900900900901,1.2231404958677687,1.0064652076049998
0.2747747747747748,0.049586776859504134,804.0,284.0,0.9964912280701754,21.0,0.9545454545454546,1.0,0.0035087719298245615,0.2610294117647059,0.025454545454545455,0.0687819539826019,0.9756269841269842,0.01981981981981982,0.9801801801801802,1.284297520661157,1.016640866873065
0.2855855855855856,0.07683352735739232,792.0,284.0,0.9964912280701754,33.0,0.9705882352941176,1.0,0.0035087719298245615,0.26394052044609667,0.04,0.09251076864198367,0.9686730158730162,0.03063063063063063,0.9693693693693693,1.3058823529411765,1.0279788691058502
0.2963963963963964,0.10332950631458095,780.0,284.0,0.9964912280701754,45.0,0.9782608695652174,1.0,0.0035087719298245615,0.2669172932330827,0.05454545454545454,0.11186187947205295,0.9600190476190479,0.04144144144144144,0.9585585585585585,1.316205533596838,1.039572615749901
0.3063063063063063,0.12698412698412698,769.0,284.0,0.9964912280701754,56.0,0.9824561403508771,1.0,0.0035087719298245615,0.26970560303893637,0.06787878787878789,0.12740351425184746,0.9543142857142861,0.051351351351351354,0.9486486486486486,1.3218500797448167,1.0504323486779628
0.3144144144144144,0.14781634938409854,759.0,283.0,0.9929824561403509,66.0,0.9705882352941176,2.0,0.007017543859649123,0.2715930902111324,0.08,0.13294731274718927,0.9503261904761907,0.06126126126126126,0.9387387387387387,1.3058823529411765,1.0577836145065158
0.3171171171171171,0.15401785714285715,756.0,283.0,0.9929824561403509,69.0,0.971830985915493,2.0,0.007017543859649123,0.27237728585178056,0.08363636363636363,0.1367879730185357,0.9485634920634928,0.06396396396396396,0.936036036036036,1.3075544174135723,1.0608378501595663
0.32432432432432434,0.17035398230088494,748.0,283.0,0.9929824561403509,77.0,0.9746835443037974,2.0,0.007017543859649123,0.27449078564500484,0.09333333333333334,0.14665496584196236,0.945460317460318,0.07117117117117117,0.9288288288288289,1.3113924050632912,1.0690693756700187
0.3333333333333333,0.19213973799126638,737.0,282.0,0.9894736842105263,88.0,0.967032967032967,3.0,0.010526315789473684,0.27674190382728164,0.10666666666666667,0.15309017479755752,0.9390095238095241,0.08198198198198198,0.918018018018018,1.3010989010989014,1.0778368885904654
0.33783783783783783,0.20711974110032363,729.0,279.0,0.9789473684210527,96.0,0.9411764705882353,6.0,0.021052631578947368,0.2767857142857143,0.11636363636363636,0.14413255997657945,0.9347404761904761,0.0918918918918919,0.9081081081081082,1.2663101604278073,1.0780075187969924
0.34774774774774775,0.2281449893390192,718.0,279.0,0.9789473684210527,107.0,0.9469026548672567,6.0,0.021052631578947368,0.279839518555667,0.1296969696969697,0.15695302913602965,0.9306952380952388,0.1018018018018018,0.8981981981981982,1.2740144810941272,1.0899012827957557
